"","Location","Species","Probability","latinName"
"1","HP40","Odo_161",0.8299,"Enallagma cyathigerum"
"2","HP50","Odo_161",1,"Enallagma cyathigerum"
"3","HP50","Odo_199",0.8003,"Pyrrhosoma nymphula"
"4","HP50","Odo_172",0.6011,"Ischnura elegans"
"5","HP51","Odo_161",0.8592,"Enallagma cyathigerum"
"6","HP51","Odo_199",0.0309,"Pyrrhosoma nymphula"
"7","HP60","Odo_161",1,"Enallagma cyathigerum"
"8","HP60","Odo_172",0.7405,"Ischnura elegans"
"9","HP60","Odo_199",0.7243,"Pyrrhosoma nymphula"
"10","HP60","Odo_129",0.0291,"Aeshna juncea"
"11","HP61","Odo_161",1,"Enallagma cyathigerum"
"12","HP61","Odo_172",0.7836,"Ischnura elegans"
"13","HP61","Odo_199",0.6512,"Pyrrhosoma nymphula"
"14","HT93","Odo_161",0.8373,"Enallagma cyathigerum"
"15","HT93","Odo_199",0.0047,"Pyrrhosoma nymphula"
"16","HT93","Odo_172",8e-04,"Ischnura elegans"
"17","HT94","Odo_161",0.8313,"Enallagma cyathigerum"
"18","HT94","Odo_199",8e-04,"Pyrrhosoma nymphula"
"19","HU14","Odo_161",0.8332,"Enallagma cyathigerum"
"20","HU14","Odo_199",0.0034,"Pyrrhosoma nymphula"
"21","HU15","Odo_161",0.8625,"Enallagma cyathigerum"
"22","HU15","Odo_199",0.0291,"Pyrrhosoma nymphula"
"23","HU15","Odo_172",0.0055,"Ischnura elegans"
"24","HU16","Odo_161",0.8299,"Enallagma cyathigerum"
"25","HU24","Odo_161",0.8849,"Enallagma cyathigerum"
"26","HU24","Odo_199",0.0578,"Pyrrhosoma nymphula"
"27","HU24","Odo_172",0.0045,"Ischnura elegans"
"28","HU25","Odo_161",1,"Enallagma cyathigerum"
"29","HU25","Odo_172",0.7254,"Ischnura elegans"
"30","HU25","Odo_199",0.7168,"Pyrrhosoma nymphula"
"31","HU26","Odo_161",0.8327,"Enallagma cyathigerum"
"32","HU26","Odo_199",6e-04,"Pyrrhosoma nymphula"
"33","HU26","Odo_153",4e-04,"Cordulegaster boltonii"
"34","HU26","Odo_172",4e-04,"Ischnura elegans"
"35","HU26","Odo_185",4e-04,"Libellula quadrimaculata"
"36","HU26","Odo_207",4e-04,"Sympetrum danae"
"37","HU26","Odo_129",4e-04,"Aeshna juncea"
"38","HU27","Odo_161",0.8389,"Enallagma cyathigerum"
"39","HU27","Odo_199",0.0084,"Pyrrhosoma nymphula"
"40","HU27","Odo_172",5e-04,"Ischnura elegans"
"41","HU28","Odo_161",0.8379,"Enallagma cyathigerum"
