id,taxon,common_name,type,general,description,habitat,distribution,confusion_species,profile_pic,profile_pic_author,profile_pic_sex,gallery[],gallery_authors[],gallery_sex[],gallery[],gallery_authors[],gallery_sex[],map,colour{brown},colour{grey},colour{orange},colour{yellow},colour{green},colour{blue}
1,Chalcolestes viridis,Willow Emerald Damselfly,zygoptera,,"This damselfly is metallic green, with no blue pruinescence on the male. At rest, the Emerald damselflies all spread their wings at an angle to the body, unlike other damselflies. The pterostigma is pale brown with a black border, and the sides of the thorax show a spur-shaped marking. The male upper appendages are distinctively pale cream with dark tips.","Usually near ponds, canals or other still water with overhanging trees. The eggs are laid into the bark of willow or alder.","Recent colonist. A very few twentieth century records, but recorded in numbers from southeast Suffolk during 2009, with outlying sites in southeast Norfolk and north Essex. In 2010 again present in these areas, with additional records from south Essex and north Kent.","4, 3 and 2",images/Chalcolestes_viridis_Jorg_Hempel.jpg,Jorg Hempel,MALE,images/Chalcolestes_viridis_Quartl.jpg,Quartl,MALE,,,,images/Lestes_viridis_new_final_.svg,1,,,,1,
2,Lestes barbarus,Southern Emerald Damselfly,zygoptera,,"This damselfly is metallic green, becoming bronze as it ages. It has relatively broad, pale ante-humeral stripes on the thorax, and a pale back to the head. At rest, the Southern Emerald spreads its wings at a wide angle to the body. The pterostigma is bi-coloured. Males become pruinescent only on abdominal segment S10.","Still, shallow, waters; will tolerate brackish conditions. Seems to favour dune slacks and other coastal sites in our area, though has occurred inland.","Migrant from Northern Europe, possibly the Netherlands where it has increased recently. First observed in July 2002 in Norfolk. Also in the Channel Islands since 1995. Now occurs almost annually, and has attempted to breed.","4, 3, 1, female 6 and female 5.",images/Lestes_barbarus_m_Piotr_Mikolajczuk.jpg,Piotr Mikolajczuk,MALE,images/Lestes_Barbarus_Christian_Fischer.jpg,Christian Fischer,FEMALE,images/Lestes_barbarus_m_2_Piotr_Mikolajczuk.jpg,Piotr Mikolajczuk,MALE,images/Lestes_barbarus_new_final_.svg,1,1,,1,1,
3,Lestes dryas,Scarce Emerald Damselfly,zygoptera,,"The Scarce Emerald Damselfly is a medium sized metallic green insect that usually rests with its wings half open. Adult males have blue eyes and have powder blue pruinescence on the thorax between the wings and on the segments at the top and bottom of the abdomen. In comparison, the females tend to be much duller green.",L. dryas is usually found within the dense vegetation of shallow pools and drainage channels. On the coastal and estuarine marshes in Kent and Essex populations also use the borrow dykes as well as ditches and marsh pools where they show a tolerance of brackish water. Breeding sites are well vegetated with submerged and emergent vegetation.,"It is a rare and local species, recognised as vulnerable by the UK statutory conservation agencies. It is listed under Category 2 (vulnerable) in the British Red Data Book on Insects. In Britain the species has strongholds on the coastal and estuarine marshes of Essex and North Kent and in the Norfolk Brecklands. There are also a few scattered colonies at other locations in East Anglia.","4, 2 and 1.",images/Lestes_dryas_m_Nik_Janssen.jpg,Nik Janssen,MALE,images/Lestes_dryas_f_Anto_nio_A_Gonc_alves.jpg,AntoÌnio A GoncÌ§alves,FEMALE,images/Lestes_dryas_f_Alain_Auffret.jpg,Alain Auffret,MALE,images/Lestes_dryas_new_final_.svg,1,1,,1,1,1
4,Lestes sponsa,Emerald Damselfly,zygoptera,,"This damselfly is metallic green. The male develops a blue pruinescence on segments 1, 2, 9 and 10 as it matures. The female is thicker bodied than the male with no blue pruinescence. The ovipositor just reaches the tip of segment 10. The Emerald Damselfly rests with its wings spread at about 45Â° to the body. The elongated pterostigma is dark brown to black.","Still waters, may be found in pondside rushes or reeds.",Locally common throughout Britain and Ireland.,"3, 2, 1, female 6 and female 5.",images/Lestes_sponsa_m_3_David_Kitching.jpg,David Kitching,MALE,images/Lestes_sponsa_f_2_David_Kitching.jpg,David Kitching,FEMALE,images/Lestes_sponsa_m_David_Kitching.jpg,David Kitching,MALE,images/Lestes_sponsa_new_final_.svg,1,1,,1,1,1
5,Calopteryx splendens,Banded Demoiselle,zygoptera,,"Only two species of damselfly in Britain have obviously coloured wings. They both belong to the genus Calopteryx. In this species the wings of the mature male have a dark blue-black band across the central portion and those of the female are iridescent pale-green. The body colour is metallic blue-green in the male and green with a bronze tip in the female. The flight is fluttering, butterfly-like and the male often perform a fluttering display flight in front of females.","Mainly found along slow-flowing lowland streams and rivers, particularly those with muddy bottoms.","Common. Most of England (south of the Humber), Wales and Ireland. Main flight period is early May to end August.","6, 1, 2, 3 and 4.",images/Calopteryx_splendens_m_Dennis_Swaby.jpg,Dennis Swaby,MALE,images/Calopteryx_splendens_f_2___Alan_Davies.jpg,Alan Davies,FEMALE,images/Calopteryx_splendens_f_Neil_Malton.jpg,Neil Malton,FEMALE,images/Calopteryx_splendens_new_final_.svg,1,,1,,1,1
6,Calopteryx virgo,Beautiful Demoiselle,zygoptera,,"Only two species of damselfly in Britain have obviously coloured wings. They both belong to the genus Calopteryx. In this species the wings of the mature male are very dark blue-black and those of the female are iridescent brown-green. The body colour is metallic blue-green in the male and green with a bronze tip in the female. The flight is fluttering, butterfly-like.","Mainly found along streams and rivers, particulary those with sand or gravel bottoms. The males rest on bankside vegetation waiting for females.",Locally abundant. Mostly found west of a line between Liverpool and Folkestone and in southern Ireland. Main flight period is late May to end August.,"5, 1, 2, 3 and 4.",images/Calopteryx_virgo_m_Tim_Melling.jpg,Tim Melling,MALE,images/Calopteryx_virgo_f_B_Roberts.jpg,B. Roberts,FEMALE,images/Calopteryx_virgo_tandem_Dave_Smallshire.jpg,Dave Smallshire,PAIR,images/Calopteryx_virgo_new_final_.svg,1,,1,,1,1
7,Platycnemis pennipes,White-legged Damselfly,zygoptera,,"Adult males have obvious expanded, white legs which are used in a fluttering display flight in front of females. The male is pale blue with paired black markings on S2-6. S7-10 are more extensively marked with black. The female is very pale, creamy white when immature (f. lactea) becoming pale green with paired black marks on each segment of the abdomen. The ante-humeral stripes are quite broad with narrow, paler stripes below and a medial pale line on the thorax. The pterostigma is pale brown.","Mainly found along slow-flowing lowland streams and rivers, sometimes on canals or ponds. Often in similar habitat to C. splendens.","Uncommon, though can be locally abundant on rivers and canals in southern England and a few sites in Wales.",11 and 14.,images/Platycnemis_pennipes_m_Dave_Mitchell.jpg,Dave Mitchell,MALE,images/Platycnemis_pennipes_f_David_Kitching.jpg,David Kitching,FEMALE,images/Platycnemis_pennipes_m_David_Kitching.jpg,David Kitching,MALE,images/Platycnemis_pennipes_new_final_.svg,1,1,1,1,,1
8,Ceriagrion tenellum,Small Red Damselfly,zygoptera,,"One of our smallest damselflies, this is one of only two red damselfly species in the UK. The male has an all red abdomen. The female exists in several colour forms varying in the amount of red and black on the abdomen from nearly all black in f. melanogastrum to an uncommon red form, erythrogastrum. Both sexes have a bronze-black thorax and red legs and pterostigma.","Found in shallow pools, seepages and streams in heathland bog.",Rare. Restricted to heathlands in southern England and west Wales.,"19, female 10 and 44.",images/Ceriagrion_tenellum_m_Anto_nio_A_Gonc_alves.jpg,Antoinio A Goncalves,MALE,images/Ceriagrion_tenellum_f_Pablo_M_Darve.jpg,Pablo M Darve,FEMALE,images/Ceriagrion_tenellum_m_David_Kitching.jpg,David Kitching,MALE,images/Ceriagrion_tenellum_new_final_.svg,1,,1,1,,
9,Coenagrion hastulatum,Northern Damselfly,zygoptera,,"This species is found in only a few small lochans in Scotland. In the male, S2 has a rather variable, spear-head shaped spot linked rather like the cards â™ ""Spades"" symbol. S8 and S9 are blue except for 2 small black spots on S9. The female is clear green from the side but mostly black from above.",This species is restricted in the UK to sedge-fringed lochans in the Scottish Highlands.,Rare and local. This is a Red Data Book species.,"11, 14 and melanogastrum form of the 8 (out of area 10, 13).",images/Coenagrion_hastulatum_m_Damian_Pinguey.jpg,Damian Pinguey,MALE,images/Coenagrion_hastulatum_f_Damian_Pinguey.jpg,Damian Pinguey,FEMALE,images/Coenagrion_hastulatum_m2_Damian_Pinguey.jpg,Damian Pinguey,MALE,images/Coenagrion_hastulatum_new_final_.svg,,1,,1,1,1
10,Coenagrion mercuriale,Southern Damselfly,zygoptera,,"The Southern Damselfly, Coenagrion mercuriale, is one of five members of the genus Coenagrion currently to be found in the British Isles (two others have gone extinct in the last 40 years) and one of eleven members of the family Coenagrionidae. C. mercuriale mercury markThe Southern Damselfly, Coenagrion mercuriale, is one of five members of the genus Coenagrion currently to be found in the British Isles (two others have gone extinct in the last 40 years) and one of eleven members of the family Coenagrionidae. Together with Common Blue Damselfly (Enallagma cyathigerum) and White-legged Damselfly (Platycnemis pennipes), the Coenagrion species constitute the blue damselflies, which are all blue and black in colour. Male Southern Damselflies can only be identified from examination of the anal appendages, though the mercury mark on the second abdominal segment is a useful guide. Female Coenagrion species are very similar making them difficult to identify. Adults are on the wing from mid May to August. The flight is weak and low; they stay close to the breeding site and do not appear to disperse easily to colonise new areas. Low shrubs and Juncus spp. are used for perching, roosting and feeding forays. Eggs are laid in submerged tissues of aquatic and emergent vegetation and the plant dwelling larvae usually take two years to mature. The larvae are distinctive in that they have very small, un-patterned caudal lamellae.","In the UK the Southern Damselfly is primarily a species of base-rich runnels and streams often within acid heathland areas. However, it also occurs on water meadows in the flood plains of two chalk rivers, a habitat said to be more typical of many continental sites. At breeding sites the water is typically shallow and slow-flowing over a gravel or marl bed with patches of organic detritus. It may be that a more or less constant, relatively high, water temperature in winter in the spring-fed sites is particularly important in determining site suitability.","The Southern Damselfly is a rare species in the UK. In the UK, it is living on the extreme north-western fringe of its European range. Its two main strongholds are in the New Forest, Hampshire and the Preseli mountains, Pembrokeshire. Smaller colonies are found in Devon, Dorset, Anglesey, Gower, Oxfordshire and on the flood plains of the Test and Itchen rivers in Hampshire. There are old records from Cornwall and Somerset and elsewhere in Devon, Dorset and South Wales. The range of the species has contracted in the last thirty years.","11, 14 and melanogastrum form of the 8 (out of area 9, 13).",images/Coenagrion_mercuriale_m_Helder_Conceic_a_o.jpg,C. Helder,MALE,images/Coenagrion_mercuriale_f_Martin_D_Parr.jpg,Martin D Parr,FEMALE,images/Coenagrion_mercuriale_tandem_Pam_Taylor.jpg,Pam Taylor,PAIR,images/Coenagrion_mercuriale_new_final_.svg,1,,,,,1
11,Coenagrion puella,Azure Damselfly,zygoptera,,"The male has a characteristic flat-bottomed ""U"" shaped mark on S2. S8 is blue and S9 has black markings towards the rear. The female is green or pale blue with extensive black markings.",Small ponds and streams and sometimes at the edges of larger water bodies..,Very common throughout the British Isles except the northern half of Scotland.,"14, 12, 9, 10, 13 and 17.",images/Coenagrion_puella_m_Val_Perrin.jpg,Val Perrin,MALE,images/Coenagrion_puella_f_2_David_Kitching.jpg,David Kitching,FEMALE,images/Coenagrion_puella_m_Jules_Oliver.jpg,Jules Oliver,MALE,images/Coenagrion_puella_new_final_.svg,1,1,,,,1
12,Coenagrion pulchellum,Variable Damselfly,zygoptera,,"In the male, the ante-humeral stripes are usually broken, like two exclamation marks. S2 has a ""wine-goblet"" shaped marked, usually joined to the inter-segmental line by its stalk, though this character is quite variable. S8 is blue but S9 is mainly black. The female is blue with more or less extensive black markings.","Well-vegetated ditches, canals and ponds. Rarely in flowing water.",Scattered and uncommon in mainland Britain but widespread and common in Ireland.,"11, 13, 14 and 17 (out of area or habitat 9 and 10).",images/Coenagrion_pulchellum_m_3_David_Kitching.jpg,David Kitching,MALE,images/Coenagrion_pulchellum_f_David_Kitching.jpg,David Kitching,FEMALE,images/Coenagrion_pulchellum_tandem_David_Kitching.jpg,David Kitching,PAIR,images/Coenagrion_pulchellum_new_final_.svg,,1,,,,1
13,Coenagrion scitulum,Dainty Damselfly,zygoptera,,"Both sexes appear yellowish when viewed from the underside. The pale brown pterostigma is longer than in other Coenagrion species. In the male, S2 has a ""wine-goblet"" shaped mark, occasionally reduced to a bar or crescent. S8 is blue but S9 has black markings towards the rear. S6 and S7 are entirely black. The female is blue with black ""rocket-shaped"" markings on the abdomen.",Open but well-vegetated waters. It can tolerate some salinity.,"Found in Essex during 1946-1952, when its known breeding sites were then destroyed during the catastrophic floods of winter 1952-53. Recently (June 2010) re-discovered in Kent, where apparently breeding (two exuviae found).","14, 12, 11 and 17 (out of area – 9 and 10).",images/Coenagrion_scitulum_Alastair_Rae.jpg,Alastair Rae,MALE,images/Coenagrion_scitulum_Gilles_San_Martin.jpg,Gilles San Martin,MALE,images/Coenagrion_scitulum_f_Dave_Smallshire.jpg,Dave Smallshire,FEMALE,images/Coenagrion_scitulum_new_final_.svg,,,,,,1
